codigo,nombre,categoria,id_proveedor,proveedor,precio_venta,unidad,estado
MIS-0047,Vela aromática Mediano,Miscelanea,PRV-028,Soluciones del Norte,175993,Paquete,limpio
PAN-0048,Galleta de avena Grande,Panaderia,PRV-001,Distribuciones Andina,183912,Unidad,limpio
ABA-0049,Atún Premium,Abarrotes,PRV-010,Alianza Nueva Granada,191831,Unidad,limpio
PAP-0050,Resma de papel Mini,Papeleria,PRV-019,Importadora San Martín,199750,Unidad,limpio
FER-0051,Martillo Clásico,Ferreteria,PRV-028,Soluciones del Norte,9669,Unidad,limpio
MIS-0052,Vela aromática Mediano,Miscelanea,PRV-001,Distribuciones Andina,17588,Paquete,limpio
PAN-0053,Galleta de avena Grande,Panaderia,PRV-010,Alianza Nueva Granada,25507,Paquete,limpio
ABA-0054,Atún Premium,Abarrotes,PRV-019,Importadora San Martín,33426,Unidad,limpio
PAP-0055,Resma de papel Mini,Papeleria,PRV-028,Soluciones del Norte,41345,Unidad,limpio
FER-0056,Martillo Clásico,Ferreteria,PRV-001,Distribuciones Andina,49264,Unidad,limpio
MIS-0057,Vela aromática Mediano,Miscelanea,PRV-010,Alianza Nueva Granada,57183,Unidad,limpio
PAN-0058,Galleta de avena Grande,Panaderia,PRV-019,Importadora San Martin,65102,Paquete,limpio
ABA-0059,Atún Premium,Abarrotes,PRV-028,Soluciones del Norte,73021,Paquete,limpio
PAP-0060,Resma de papel Mini,Papeleria,PRV-001,Distribuciones Andina,80940,Unidad,limpio
FER-0061,Martillo Clásico,Ferreteria,PRV-010,Alianza Nueva Granada,88859,Unidad,limpio
MIS-0062,Vela aromática Mediano,Miscelanea,PRV-019,Importadora San Martín,96778,Unidad,limpio
PAN-0063,Galleta de avena Grande,Panaderia,PRV-028,Soluciones del Norte,104697,Unidad,limpio
ABA-0064,Atún Premium,Abarrotes,PRV-001,Distribuciones Andina,112616,Paquete,limpio
PAP-0065,Resma de papel Mini,Papeleria,PRV-010,Alianza Nueva Granada,120535,Paquete,limpio
FER-0066,Martillo Clásico,Ferreteria,PRV-019,Importadora San Martín,128454,Unidad,limpio
MIS-0067,Vela aromática Mediano,Miscelanea,PRV-028,Soluciones del Norte,136373,Unidad,limpio
PAN-0068,Galleta de avena Grande,Panaderia,PRV-001,Distribuciones Andina,144292,Unidad,limpio
ABA-0069,Atún Premium,Abarrotes,PRV-010,Alianza Nueva Granada,152211,Unidad,limpio
PAP-0070,Resma de papel Mini,Papeleria,PRV-019,Importadora San Martín,160130,Paquete,limpio
FER-0071,Martillo Clásico,Ferreteria,PRV-028,Soluciones del Norte,168049,Paquete,limpio
MIS-0072,Vela aromática Mediano,Miscelanea,PRV-001,Distribuciones Andina,175968,Unidad,limpio
PAN-0073,Galleta de avena Grande,Panaderia,PRV-010,Alianza Nueva Granada,183887,Unidad,limpio
ABA-0074,Atún Premium,Abarrotes,PRV-019,Importadora San Martín,191806,Unidad,limpio
PAP-0075,Resma de papel Mini,Papeleria,PRV-028,Soluciones del Norte,199725,Unidad,limpio
FER-0076,Martillo Clásico,Ferreteria,PRV-001,Distribuciones Andina,9644,Paquete,limpio
MIS-0077,Vela aromática Mediano,Miscelanea,PRV-010,Alianza Nueva Granada,17563,Paquete,limpio
PAN-0078,Galleta de avena Grande,Panaderia,PRV-019,Importadora San Martín,25482,Unidad,limpio
ABA-0079,Atún Premium,Abarrotes,PRV-028,Soluciones del Norte,33401,Unidad,limpio
PAP-0080,Resma de papel Mini,Papeleria,PRV-001,Distribuciones Andina,41320,Unidad,limpio
FER-0081,Martillo Clásico,Ferreteria,PRV-010,Alianza Nueva Granada,49239,Unidad,limpio
MIS-0082,Vela aromática Mediano,Miscelanea,PRV-019,Importadora San Martín,57158,Paquete,limpio
PAN-0083,Galleta de avena Grande,Panaderia,PRV-028,Soluciones del Norte,65077,Paquete,limpio
ABA-0084,Atún Premium,Abarrotes,PRV-001,Distribuciones Andina,72996,Unidad,limpio
PAP-0085,Resma de papel Mini,Papeleria,PRV-010,Alianza Nueva Granada,80915,Unidad,limpio
FER-0086,Martillo Clásico,Ferreteria,PRV-019,Importadora San Martín,88834,Unidad,limpio
MIS-0087,Vela aromática Mediano,Miscelanea,PRV-028,Soluciones del Norte,96753,Unidad,limpio
PAN-0088,Galleta de avena Grande,Panaderia,PRV-001,Distribuciones Andina,104672,Paquete,limpio
ABA-0089,Atún Premium,Abarrotes,PRV-010,Alianza Nueva Granada,112591,Paquete,limpio
PAP-0090,Resma de papel Mini,Papeleria,PRV-019,Importadora San Martín,120510,Unidad,limpio
,Producto sin código,Ferreteria,PRV-007,Productos La Montaña,35000,Unidad,pendiente_revision
PAP-0099,,Papeleria,,Papelería Central,12500,Unidad,pendiente_revision
